CRT_sum,Estimate,NFC,NFC_Ra,NFC_Re,CRTEst_Calibration,Group,Group2,CRT_split,CRT_third,CRT_Four,Estimate_split,Calibration_split,NFC_split,CRT_POMP,Estimate_POMP,CRTNFC_Calibration,ZCRT_sum,ZEstimate,ZCalibration,ZNFC,ZNFC_Ra,ZNFC_Re,CRTxEstimate,CRT_Toplak,CRT_Thomson,ZCRT_Toplak,ZCRT_Thomson,CRT_ToplakxEstimate,Age,Sex,English,Random,StartDate,EndDate,Finished,confirmCode,CRTInst,CRT2_1,CRT2_2,CRT2_3,CRT2_4,CRT3_1,CRT3_2,CRT3_3,CRT3_4,RI_Inst,RI_1,RI_2,RI_3,RI_4,RI_5,RI_6,RI_7,RI_8,RI_9,RI_10,RI_11,RI_12,RI_13,RI_14,RI_15,RI_16,RI_17,RI_18,RI_19,RI_20,Length,Comments,CRT_ACC_1,CRT_ACC_2,CRT_ACC_3,CRT_ACC_4,CRT_ACC_5,CRT_ACC_6,CRT_ACC_7,CRT_ACC_8,RIb_1,RIb_2,RIb_3,RIb_4,RIb_5,RIb_6,RIb_7,RIb_8,RIb_9,RIb_10,RIb_11,RIb_12,RIb_13,RIb_14,RIb_15,RIb_16,RIb_17,RIb_18,RIb_19,RIb_20,P.RI_1,P.RI_3,P.RI_5,P.RI_6,P.RI_7,P.RI_10,P.RI_11,P.RI_15,P.RI_18,P.RI_20,P.RI_2,P.RI_4,P.RI_8,P.RI_9,P.RI_12,P.RI_13,P.RI_14,P.RI_16,P.RI_17,P.RI_19
2,3,65,70,60,-1,1,1,1,1,1,1,2,1,25,37.5,-40,-.85178359420423,-1.68675456862983,.374910995077929,-.0346946300981901,.170531401559274,-.192645629715867,1.43674986900793,1,1,-.540291312636833,-.965557580273626,.911338839981189,35,2,1,2,5/17/2016,5/17/2016,1,460534,1,8,31,10,3,1,8,1,9,1,1,2,4,2,2,3,2,3,2,3,3,1,3,4,2,4,4,4,3,4,15 minutes,No,0,0,0,1,0,1,0,0,5,4,4,4,4,3,4,3,4,3,3,5,3,4,2,4,4,2,3,4,100,75,75,50,75,50,50,25,25,75,75,75,50,75,100,50,75,75,75,50
2,3,58.75,62.5,55,-1,1,1,1,1,1,1,2,1,25,37.5,-33.75,-.85178359420423,-1.68675456862983,.374910995077929,-.351191056689837,-.225984200842788,-.393714927651249,1.43674986900793,1,1,-.540291312636833,-.965557580273626,.911338839981189,32,1,1,2,5/17/2016,5/17/2016,1,715838,1,6,1,20,1,2,7,1,90,1,2,2,4,2,3,4,1,2,4,4,4,2,2,4,2,2,5,4,4,2, , ,0,0,1,0,1,0,0,0,4,4,4,4,3,4,5,4,2,4,2,4,2,4,2,2,5,2,4,2,75,75,50,75,100,75,25,25,25,25,75,75,75,25,75,25,75,25,100,75
2,3,22.5,37.5,7.5,-1,1,1,1,1,1,1,2,1,25,37.5,2.5,-.85178359420423,-1.68675456862983,.374910995077929,-2.18687033092139,-1.54770287551633,-2.30387325803737,1.43674986900793,1,1,-.540291312636833,-.965557580273626,.911338839981189,32,1,1,2,5/17/2016,5/17/2016,1,973017,1,3,30,40,3,1,8,1,96,1,5,5,1,5,5,1,5,3,4,1,5,4,4,3,1,1,4,5,4,4,5 minutes,Thanks!,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,3,2,1,1,2,4,3,1,1,4,1,4,4,0,0,0,0,0,0,0,0,0,75,0,0,50,25,25,75,50,0,75,75
2,3,90,85,95,-1,1,1,1,1,1,1,2,2,25,37.5,-65,-.85178359420423,-1.68675456862983,.374910995077929,1.2312910762684,.963562606363398,1.2148394558318,1.43674986900793,1,1,-.540291312636833,-.965557580273626,.911338839981189,32,2,1,2,5/17/2016,5/17/2016,1,647446,1,3,29,10,2,2,7,1,9,1,1,2,4,1,1,5,1,1,1,5,1,1,4,4,4,4,4,1,4,5,25 minutes,Thank You,0,1,0,0,1,0,0,0,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,5,100,75,100,100,100,100,100,75,100,100,75,100,100,100,100,75,75,75,75,75
2,4,61.25,57.5,65,-2,1,1,1,1,1,1,1,1,25,50,-36.25,-.85178359420423,-1.03647932397215,-.114211296513806,-.224592486053178,-.490327935777497,.00842366821951473,.882856083891367,0,2,-1.24652924272641,-.0993956332634614,1.29200178681258,39,1,1,2,5/17/2016,5/17/2016,1,460938,1,8,30,80,1,2,7,2,0,1,2,3,4,3,3,3,2,3,3,4,2,3,4,4,2,3,4,2,3,4,10 minutes,none,0,0,0,0,1,0,0,1,4,3,4,3,3,3,4,3,3,4,4,3,4,4,2,3,4,4,3,4,75,75,50,50,75,75,75,25,75,75,50,50,50,50,50,75,75,50,75,50
2,4,51.25,37.5,65,-2,1,1,1,1,1,1,1,1,25,50,-26.25,-.85178359420423,-1.03647932397215,-.114211296513806,-.730986768599812,-1.54770287551633,.00842366821951473,.882856083891367,1,1,-.540291312636833,-.965557580273626,.56000077446985,23,1,1,2,5/17/2016,5/17/2016,1,961988,1,8,30,30,3,1,8,1,27,1,3,3,4,3,3,3,3,3,4,3,3,4,3,3,5,2,3,1,1,4,6 minutes, ,0,0,0,1,0,1,0,0,3,3,4,3,3,3,3,3,2,3,3,2,3,3,5,2,3,5,1,4,50,75,50,50,50,50,50,100,100,75,50,50,50,25,25,50,50,25,50,0
2,4,31.25,32.5,30,-2,1,1,1,1,1,1,1,1,25,50,-6.25,-.85178359420423,-1.03647932397215,-.114211296513806,-1.74377533369308,-1.81204661045104,-1.39906141732816,.882856083891367,1,1,-.540291312636833,-.965557580273626,.56000077446985,38,1,1,2,5/17/2016,5/17/2016,1,494171,1,3,32,20,1,1,7,3,27,1,4,4,2,4,4,2,4,4,4,1,1,5,2,2,2,3,4,4,3,2,10 mins,enjoyed.,0,0,1,0,0,0,1,0,2,2,2,2,2,2,2,2,2,1,5,1,2,2,2,3,4,2,3,2,25,25,25,25,25,0,100,25,25,25,25,25,25,25,0,25,25,50,75,50
2,4,90,92.5,87.5,-2,1,1,1,1,1,1,1,2,25,50,-65,-.85178359420423,-1.03647932397215,-.114211296513806,1.2312910762684,1.36007820876546,.913235508928732,.882856083891367,1,1,-.540291312636833,-.965557580273626,.56000077446985,35,2,1,2,5/17/2016,5/17/2016,1,272833,1,4,31,0,1,1,8,1,27,1,1,2,4,1,1,5,1,1,1,3,1,2,5,5,4,5,4,1,5,4,5 minutes,Thanks!,1,0,0,0,0,1,0,0,5,4,4,5,5,5,5,5,5,3,5,4,5,5,4,5,4,5,5,4,100,75,100,100,100,50,100,75,100,75,75,100,100,100,75,100,100,100,75,100
2,4,95,97.5,92.5,-2,1,1,1,1,1,1,1,2,25,50,-70,-.85178359420423,-1.03647932397215,-.114211296513806,1.48448821754171,1.62442194370017,1.11430480686411,.882856083891367,0,2,-1.24652924272641,-.0993956332634614,1.29200178681258,39,1,1,2,5/17/2016,5/17/2016,1,31654,1,6,15,10,1,3,8,3,3,1,1,1,5,1,2,4,1,1,1,4,1,1,4,5,5,5,5,1,5,5,6 min,Good study.,0,0,0,0,0,1,1,0,5,5,5,5,4,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,100,100,75,75,100,75,100,100,100,100,100,100,100,100,100,75,100,100,100,100
2,5,51.25,40,62.5,-3,1,1,1,1,1,1,1,1,25,62.5,-26.25,-.85178359420423,-.386204079314462,-.603333588105541,-.730986768599812,-1.41553100804898,-.0921109807481761,.328962298774808,0,2,-1.24652924272641,-.0993956332634614,.481414678525707,28,2,1,2,5/17/2016,5/17/2016,1,72581,1,2,15,10,2,2,8,1,27,1,4,4,4,4,2,4,2,4,4,2,2,2,2,3,4,3,2,3,4,4,7 minutes.,No. Thank you for letting me participate in this study. I really appreciate it! Have a great day!,0,0,0,0,1,1,0,0,2,2,4,2,4,4,4,2,2,2,4,4,2,3,4,3,2,3,4,4,25,75,75,75,75,25,75,75,50,75,25,25,25,25,75,25,50,50,25,75
